REG1,SLEAK,SSLEEP,BBFSLEEP,LNAOUT,IDD1,IDD2,IDD3,LNA_GAIN,LNA_NF,LNA_IIP3
87,-0.000000119,0.00000143,1.08E-08,0.00932,0.0562,0.00658,0.00267,16.4,1.44,11.1
87,-0.000000119,0.00000143,1.08E-08,0.0093,0.0576,0.00746,0.00266,16.4,1.36,11.1
87,1.51E-08,0.00000141,6.92E-10,0.00947,0.0561,0.0066,0.00271,16.7,1.54,10.6
87,-7.04E-08,0.00000143,1.08E-08,0.00933,0.0569,0.00669,0.00265,16.4,1.28,11.1
87,-0.000000119,0.00000206,1.08E-08,0.0092,0.0575,0.0072,0.00264,16.4,1.48,11.1
87,-3.36E-08,0.00000203,6.92E-10,0.00944,0.0577,0.00762,0.00268,16.6,1.38,11.1
87,-0.000000119,0.00000143,1.08E-08,0.00966,0.0569,0.00626,0.00272,16.5,1.62,11.1
87,-0.000000144,0.00000143,1.08E-08,0.00932,0.0575,0.00759,0.00271,16.4,1.42,11
87,-0.000000058,0.00000203,6.92E-10,0.00938,0.0563,0.00663,0.00265,16.6,1.19,10.9
87,-0.000000119,0.00000143,1.08E-08,0.00977,0.0578,0.00741,0.00276,16.5,1.52,11.1
87,-0.000000217,0.00000206,1.08E-08,0.00979,0.06,0.0073,0.00281,16.3,1.82,11.5
87,-9.26E-09,0.00000203,6.92E-10,0.00941,0.0565,0.00653,0.00269,16.6,1.34,10.9
87,-0.000000144,0.00000143,1.08E-08,0.00948,0.059,0.00709,0.00273,16.3,1.57,11.3
87,-0.000000144,0.00000206,1.08E-08,0.00975,0.0582,0.00682,0.00281,16.4,1.52,11.2
87,1.51E-08,0.00000203,6.92E-10,0.00904,0.0576,0.00765,0.00257,16.5,1.45,10.9
87,-0.000000058,0.00000203,6.92E-10,0.00952,0.0575,0.00676,0.00263,16.5,1.48,10.9
255,-9.26E-09,0.00000265,6.92E-10,0.0034,0.0308,0.000824,0.00186,-53.1,         -INF,-6.03
87,-0.000000168,0.00000206,1.08E-08,0.0103,0.0594,0.0076,0.00285,16.5,1.51,11.1
87,-9.26E-09,0.00000203,6.92E-10,0.00972,0.0583,0.00763,0.00277,16.6,1.27,10.8
87,-9.48E-08,0.00000143,1.08E-08,0.0102,0.0611,0.00784,0.00288,16.4,1.39,11.5
255,1.51E-08,0.00000265,6.92E-10,0.00281,0.0303,0.000794,0.00135,-57,         -INF,-7.67
87,-0.000000119,0.00000206,1.08E-08,0.00993,0.0604,0.00738,0.00282,16.4,1.36,11.3
255,-7.04E-08,0.00508,1.08E-08,0.00703,0.0672,0.000836,0.00706,15.9,1.5,10.2
87,-9.26E-09,0.00000141,6.92E-10,0.00967,0.0566,0.00635,0.00271,16.6,1.28,10.9
87,-0.000000144,0.00000143,1.08E-08,0.00976,0.0594,0.00755,0.00283,16.4,1.57,11.2
87,-0.000000168,0.00000268,1.08E-08,0.0102,0.0584,0.00689,0.00284,16.6,1.35,11
87,-3.36E-08,0.00000203,6.92E-10,0.01,0.0573,0.00691,0.00284,16.7,1.32,11
87,-0.000000144,0.00000206,1.08E-08,0.00953,0.0582,0.00777,0.00272,16.5,1.48,10.9
87,-0.000000119,0.00000143,1.08E-08,0.0106,0.0588,0.00671,0.00303,16.6,1.53,11.1
87,-3.36E-08,0.00000141,6.92E-10,0.00909,0.0595,0.00791,0.00261,16.5,1.45,11
87,-0.000000119,0.00000206,1.08E-08,0.00981,0.0582,0.00718,0.00277,16.5,1.44,11
87,-0.000000144,0.00000206,1.08E-08,0.01,0.0593,0.00741,0.00281,16.5,1.52,11.2
87,-9.26E-09,0.00000141,6.92E-10,0.00943,0.0586,0.00707,0.00268,16.6,1.44,11.1
87,-0.000000119,0.00000143,1.08E-08,0.00945,0.0589,0.00739,0.00267,16.4,1.43,11.3
87,-0.000000168,0.00000143,1.08E-08,0.0101,0.0587,0.00677,0.00286,16.5,1.39,11
87,-9.26E-09,0.00000141,6.92E-10,0.00954,0.0569,0.00692,0.00271,16.7,1.3,10.8
87,-9.48E-08,0.00000206,1.08E-08,0.00953,0.0581,0.00733,0.00271,16.5,1.47,11.1
87,-7.04E-08,0.00000143,1.08E-08,0.00939,0.0576,0.00711,0.00267,16.6,1.23,11
87,3.95E-08,0.00000203,6.92E-10,0.00913,0.0574,0.00778,0.00258,16.7,1.38,10.9
87,-0.000000144,0.00000206,1.08E-08,0.00985,0.0579,0.00715,0.00285,16.6,1.44,11.1
87,-0.000000119,0.00000206,1.08E-08,0.0101,0.0579,0.00676,0.0028,16.6,1.44,11.1
87,-3.36E-08,0.00000203,6.92E-10,0.00919,0.0563,0.00656,0.00257,16.7,1.45,11
87,-0.000000119,0.00000143,1.08E-08,0.0103,0.059,0.00701,0.00289,16.7,1.43,11.1
87,-0.000000144,0.00000206,1.08E-08,0.00948,0.0571,0.00659,0.00273,16.5,1.38,10.9
87,-9.26E-09,0.00000203,6.92E-10,0.00983,0.0576,0.00705,0.00273,16.7,1.17,11
87,-9.48E-08,0.00000143,1.08E-08,0.00959,0.0577,0.00707,0.00271,16.5,1.44,11.2
87,-7.04E-08,0.00000143,1.08E-08,0.00988,0.0585,0.0069,0.00284,16.6,1.27,11.2
87,-3.36E-08,0.00000203,6.92E-10,0.00912,0.0565,0.00699,0.00252,16.6,1.35,10.7
87,-0.000000119,0.00000143,1.08E-08,0.01,0.0589,0.00747,0.00286,16.6,1.5,11
87,-9.48E-08,0.00000206,1.08E-08,0.00975,0.0578,0.00677,0.00275,16.6,1.44,10.9
87,-3.36E-08,0.00000203,6.92E-10,0.00934,0.0578,0.00767,0.00262,16.5,1.46,11.1
87,-9.48E-08,0.00000143,1.08E-08,0.0101,0.0591,0.00682,0.00287,16.6,1.31,11.1
87,-0.000000119,0.00000143,1.08E-08,0.0101,0.0578,0.00684,0.00288,16.6,1.52,11.3
87,-3.36E-08,0.00000265,6.92E-10,0.00931,0.0571,0.00703,0.00261,16.7,1.53,10.8
87,-0.000000119,0.00000206,1.08E-08,0.00934,0.0556,0.00646,0.00261,16.4,1.51,10.9
87,-0.000000046,0.00000206,1.08E-08,0.00953,0.0577,0.00733,0.00274,16.6,1.5,10.9
87,-9.26E-09,0.00000203,6.92E-10,0.00917,0.0568,0.00673,0.0026,16.6,1.23,10.9
87,-0.000000144,0.00000143,1.08E-08,0.00941,0.0569,0.00717,0.00268,16.5,1.46,11.1
87,-0.000000119,0.00000206,1.08E-08,0.00971,0.0574,0.00693,0.00273,16.6,1.38,10.9
87,-9.26E-09,0.00000141,6.92E-10,0.00894,0.0563,0.0069,0.00254,16.6,1.25,10.8
87,-0.000000119,0.00000206,1.08E-08,0.00968,0.0565,0.0068,0.00278,16.6,1.3,11.1
87,-0.000000144,0.00000143,-1.43E-08,0.0106,0.0589,0.00678,0.00296,16.7,1.44,11
87,-9.26E-09,0.00000141,6.92E-10,0.00948,0.0575,0.00762,0.00266,16.7,1.2,11.1
87,-9.48E-08,0.00000206,1.08E-08,0.00958,0.057,0.00675,0.00275,16.6,1.57,10.9
87,-0.000000119,0.00000143,1.08E-08,0.0103,0.0582,0.00716,0.00288,16.6,1.3,11.1
87,-9.26E-09,0.00000141,6.92E-10,0.00902,0.0567,0.00723,0.00255,16.5,1.29,11
87,-9.48E-08,0.00000143,1.08E-08,0.0098,0.0585,0.00726,0.00283,16.6,1.33,11
87,-9.48E-08,0.00000143,1.08E-08,0.0105,0.0602,0.0072,0.00298,16.5,1.24,11.4
255,-9.26E-09,0.000113,6.92E-10,0.000152,0.000896,0.000621,0.00000387,-51.6,         -INF,-2.15
87,-0.000000144,0.000000814,1.08E-08,0.0103,0.0598,0.00734,0.00286,16.4,1.61,11.5
87,-9.48E-08,0.00000206,1.08E-08,0.00965,0.0491,0.0076,0.00279,16.6,1.28,11
87,-0.000000058,0.00000203,6.92E-10,0.00908,0.0565,0.00726,0.00258,16.6,1.1,10.7
87,-0.000000168,0.00000206,1.08E-08,0.00994,0.0586,0.00709,0.00277,16.5,1.5,11.1
87,-9.48E-08,0.00000206,1.08E-08,0.00961,0.0571,0.00735,0.0027,16.5,1.34,10.9
87,-0.000000058,0.00000203,6.92E-10,0.00949,0.0559,0.00643,0.00265,16.6,1.08,10.8
87,-9.48E-08,0.00000206,1.08E-08,0.00911,0.0561,0.00676,0.00264,16.4,1.46,10.9
87,-9.48E-08,0.00000143,1.08E-08,0.00921,0.0573,0.00713,0.00262,16.5,1.45,11
87,-9.26E-09,0.00000203,6.92E-10,0.00935,0.0575,0.00762,0.00267,16.6,1.41,10.8
87,-9.48E-08,0.00000206,1.08E-08,0.00914,0.0561,0.00662,0.00266,16.5,1.45,10.8
87,-0.000000119,0.00000143,1.08E-08,0.00918,0.0568,0.00724,0.00258,16.4,1.45,10.8
87,6.39E-08,0.00000203,6.92E-10,0.00964,0.0584,0.00707,0.0027,16.5,1.34,11.1
87,-0.000000119,0.00000206,1.08E-08,0.00939,0.0569,0.00683,0.00264,16.5,1.46,10.8
87,-0.000000168,0.00000143,1.08E-08,0.00941,0.0578,0.00762,0.00272,16.5,1.45,10.8
87,-9.26E-09,0.00000203,6.92E-10,0.00949,0.0575,0.00693,0.00267,16.6,1.3,10.9
87,-0.000000046,0.00000206,1.08E-08,0.00907,0.0561,0.0067,0.00259,16.4,1.35,10.9
87,-0.000000119,0.00000206,1.08E-08,0.00949,0.0583,0.00691,0.00268,16.4,1.57,11.2
87,1.51E-08,0.00000203,6.92E-10,0.00942,0.0562,0.00654,0.00261,16.6,1.41,11
87,-0.000000144,0.00000143,1.08E-08,0.00944,0.0582,0.0073,0.00271,16.4,1.43,10.9
87,-0.000000144,0.00000206,1.08E-08,0.00927,0.0573,0.00742,0.00268,16.4,1.47,11.1
87,1.51E-08,0.00000203,6.92E-10,0.00892,0.0553,0.00643,0.00258,16.6,1.31,10.8
87,-0.000000168,0.00000143,1.08E-08,0.00933,0.0565,0.00649,0.0027,16.4,1.53,11
87,-0.000000144,0.00000143,1.08E-08,0.00952,0.057,0.00709,0.00271,16.5,1.34,11.3
87,1.51E-08,0.00000203,6.92E-10,0.00953,0.0589,0.00747,0.0027,16.6,1.26,11
87,-0.000000144,0.00000143,1.08E-08,0.00958,0.0571,0.00662,0.00269,16.4,1.42,11.2
87,-9.48E-08,0.00000143,1.08E-08,0.00943,0.0569,0.00667,0.00267,16.5,1.59,11
87,-9.26E-09,0.00000203,6.92E-10,0.00923,0.0569,0.00741,0.00264,16.7,1.4,10.9
87,-0.000000168,0.000000814,1.08E-08,0.00949,0.0569,0.00656,0.00272,16.5,1.53,10.9
87,-0.000000119,0.00000143,1.08E-08,0.00948,0.0574,0.007,0.00272,16.5,1.54,11.1
87,-9.26E-09,0.00000203,6.92E-10,0.00945,0.0495,0.00695,0.00271,16.6,2.21,10.7
87,-0.000000192,0.00000143,1.08E-08,0.00997,0.0576,0.00675,0.00279,16.4,1.19,11.2
87,-0.000000144,0.00000206,1.08E-08,0.00969,0.0576,0.0074,0.00266,16.6,1.41,10.8
87,-9.26E-09,0.00000141,6.92E-10,0.00982,0.0595,0.00739,0.0028,16.7,1.56,10.9
87,-9.48E-08,0.00000143,1.08E-08,0.0104,0.0595,0.00758,0.00289,16.6,1.63,11
87,-9.48E-08,0.00000143,1.08E-08,0.0105,0.0617,0.00751,0.00297,16.6,1.39,11.1
87,-9.26E-09,0.00000203,6.92E-10,0.00958,0.0583,0.00754,0.0027,16.6,1.33,11
87,-0.000000144,0.00000206,1.08E-08,0.00992,0.0603,0.00736,0.00284,16.6,1.38,10.9
87,-0.000000119,0.00000143,1.08E-08,0.0107,0.0596,0.00693,0.00299,16.5,1.45,11.2
87,3.95E-08,0.00000265,6.92E-10,0.00865,0.0557,0.00722,0.00244,16.5,1.36,10.8
87,-0.000000144,0.00000143,1.08E-08,0.00997,0.0524,0.00643,0.00279,16.6,1.44,10.9
87,-0.000000168,0.00000143,1.08E-08,0.0102,0.0604,0.00738,0.00283,16.5,1.53,11
87,1.51E-08,0.00000265,6.92E-10,0.00938,0.0569,0.00737,0.00266,16.7,1.23,10.8
87,-0.000000119,0.00000143,1.08E-08,0.0103,0.0604,0.00745,0.00297,16.6,1.31,11.1
87,-0.000000119,0.00000206,1.08E-08,0.00946,0.0574,0.00683,0.00267,16.5,1.59,10.9
87,1.51E-08,0.00000203,6.92E-10,0.009,0.0491,0.00702,0.00252,16.6,2.24,10.9
87,-9.48E-08,0.00000206,1.08E-08,0.00994,0.0588,0.00739,0.00279,16.6,1.27,10.8
87,-0.000000168,0.00000206,1.08E-08,0.00964,0.0587,0.00744,0.00273,16.5,1.36,11.1
87,1.51E-08,0.00000265,6.92E-10,0.00908,0.0566,0.00682,0.00257,16.6,1.35,10.8
87,-9.48E-08,0.00000143,1.08E-08,0.00917,0.057,0.00671,0.00258,16.4,1.62,10.9
87,-0.000000168,0.00000143,1.08E-08,0.00933,0.0564,0.00622,0.00268,16.4,1.5,11
87,1.51E-08,0.00000203,6.92E-10,0.00946,0.0577,0.00657,0.00256,16.6,1.13,10.7
87,-9.48E-08,0.00000143,1.08E-08,0.00977,0.0585,0.00725,0.00276,16.5,1.37,11
87,-0.000000119,0.00000143,1.08E-08,0.0102,0.059,0.0073,0.00285,16.7,1.47,10.8
87,3.95E-08,0.00000203,6.92E-10,0.00928,0.0573,0.00742,0.0026,16.6,1.36,10.9
87,-9.48E-08,0.000000814,1.08E-08,0.0104,0.0591,0.00639,0.00295,16.6,1.31,10.8
87,-0.000000144,0.00000206,1.08E-08,0.00991,0.058,0.00656,0.00284,16.5,1.41,11.2
87,-9.26E-09,0.00000141,6.92E-10,0.00998,0.0572,0.00704,0.00281,16.8,1.31,10.8
87,-9.48E-08,0.00000143,1.08E-08,0.0104,0.0587,0.00691,0.00288,16.7,1.28,11
87,-0.000000119,0.00000206,1.08E-08,0.0101,0.0581,0.00704,0.00289,16.6,1.33,11
87,-3.36E-08,0.00000141,6.92E-10,0.00941,0.057,0.00652,0.0026,16.5,1.4,10.9
87,-0.000000119,0.00000206,1.08E-08,0.00948,0.0577,0.00693,0.00271,16.5,1.47,10.9
87,-0.000000168,0.00000143,1.08E-08,0.00958,0.0579,0.00734,0.00275,16.5,1.41,11.1
87,-9.26E-09,0.00000265,6.92E-10,0.00958,0.0578,0.00692,0.00273,16.6,1.43,11
87,-0.000000144,0.00000143,1.08E-08,0.00993,0.0576,0.0067,0.00282,16.5,1.48,11.2
87,-9.48E-08,0.000000814,1.08E-08,0.00924,0.0576,0.00747,0.00268,16.4,1.45,11
255,-3.36E-08,0.00509,0.000000602,0.000231,0.0699,0.0073,0.0000754,-14,17.3,21.4
87,-9.48E-08,0.00000143,1.08E-08,0.0101,0.0588,0.00707,0.00283,16.5,1.44,11.1
87,-9.48E-08,0.00000268,1.08E-08,0.00982,0.0569,0.00628,0.00279,16.6,1.3,10.6
